1rTorn,2nTorn,3rTorn,Passatgers,TempsCua,TempsMostrador,TempsCuaSortida,PerdAvio
4,8,6,50,0,568,568,0
4,8,6,50,18,774,779,0
4,8,6,50,0,864,864,0
4,8,6,50,0,624,624,0
4,8,6,50,0,726,727,0
4,8,6,50,0,621,621,0
4,8,6,50,0,618,618,0
4,8,6,50,0,513,513,0
4,8,6,50,11,477,489,0
4,8,6,50,266,722,962,0
4,8,6,100,487,955,1308,0
4,8,6,100,260,928,1189,0
4,8,6,100,12,686,692,0
4,8,6,100,11,726,737,0
4,8,6,100,184,704,889,0
4,8,6,100,4,843,847,0
4,8,6,100,433,647,1069,0
4,8,6,100,478,987,1374,0
4,8,6,100,11,902,912,0
4,8,6,100,875,833,1649,0
4,8,6,150,639,598,1173,0
4,8,6,150,236,892,1079,0
4,8,6,150,283,929,1138,0
4,8,6,150,751,841,1557,0
4,8,6,150,630,567,1175,0
4,8,6,150,639,521,1143,0
4,8,6,150,889,968,1725,0
4,8,6,150,239,799,1039,0
4,8,6,150,505,585,960,0
4,8,6,150,324,594,900,0
4,8,6,200,488,646,1020,0
4,8,6,200,906,727,1605,0
4,8,6,200,473,509,967,0
4,8,6,200,377,774,1119,0
4,8,6,200,371,599,943,0
4,8,6,200,294,751,1046,0
4,8,6,200,540,619,1147,0
4,8,6,200,1061,804,1828,0
4,8,6,200,814,861,1647,0
4,8,6,200,841,651,1473,0
4,8,6,250,731,685,1416,0
4,8,6,250,964,798,1685,0
4,8,6,250,1245,766,1993,0
4,8,6,250,1151,564,1693,0
4,8,6,250,969,652,1620,0
4,8,6,250,407,766,917,0
4,8,6,250,1207,842,1992,0
4,8,6,250,1330,894,2224,0
4,8,6,250,518,1070,1516,0
4,8,6,250,404,960,1159,0
4,8,6,300,621,888,1487,0
4,8,6,300,993,763,1438,0
4,8,6,300,1083,818,1780,0
4,8,6,300,2067,879,2928,0
4,8,6,300,1885,641,2490,0
4,8,6,300,1263,862,2002,0
4,8,6,300,829,607,1434,0
4,8,6,300,988,708,1680,0
4,8,6,300,1200,740,1909,0
4,8,6,300,1764,355,2107,0
4,8,6,350,1828,830,2478,0
4,8,6,350,1592,603,2113,0
4,8,6,350,1660,713,2314,0
4,8,6,350,700,582,1209,0
4,8,6,350,1367,659,2006,0
4,8,6,350,1726,970,2675,0
4,8,6,350,2951,567,3486,0
4,8,6,350,1302,697,1977,0
4,8,6,350,1422,752,2106,0
4,8,6,350,2251,848,3040,0
4,8,6,400,1960,690,2524,1
4,8,6,400,1178,692,1848,0
4,8,6,400,1610,710,2316,0
4,8,6,400,967,890,1818,3
4,8,6,400,2506,983,3427,0
4,8,6,400,1619,775,2346,0
4,8,6,400,1535,736,2151,0
4,8,6,400,1078,876,1875,0
4,8,6,400,689,802,1456,0
4,8,6,400,602,715,1289,0
4,8,6,450,2059,892,2918,1
4,8,6,450,2009,772,2597,14
4,8,6,450,2192,911,3023,0
4,8,6,450,1781,828,2535,9
4,8,6,450,796,876,1667,22
4,8,6,450,1550,461,1945,11
4,8,6,450,1826,738,2550,4
4,8,6,450,2045,508,2549,3
4,8,6,450,1218,822,1967,20
4,8,6,450,1423,741,2158,0
4,8,6,500,2435,487,2870,2
4,8,6,500,2515,875,3360,12
4,8,6,500,2355,579,2889,15
4,8,6,500,1589,792,2297,13
4,8,6,500,1951,804,2660,2
4,8,6,500,2396,794,3178,0
4,8,6,500,1296,750,1857,2
4,8,6,500,2204,810,2863,8
4,8,6,500,2066,854,2801,26
4,8,6,500,1390,666,1950,2
4,8,6,600,2404,753,3137,44
4,8,6,600,4129,839,4886,33
4,8,6,600,2567,715,3246,75
4,8,6,600,3335,873,3968,40
4,8,6,600,3433,632,4046,36
4,8,6,600,4760,713,5364,36
4,8,6,600,3636,638,4247,39
4,8,6,600,4692,705,5340,28
4,8,6,600,2647,798,3271,42
4,8,6,600,4591,681,5260,74
4,8,6,550,2378,853,3223,19
4,8,6,550,3095,708,3733,16
4,8,6,550,2560,786,3275,13
4,8,6,550,2033,691,2654,29
4,8,6,550,2505,879,3278,20
4,8,6,550,2312,615,2925,14
4,8,6,550,3102,710,3807,12
4,8,6,550,3295,557,3823,15
4,8,6,550,3195,642,3801,17
4,8,6,550,1454,649,2069,33

